id,this_week,name
1,1,Justin Rose
2,2,Dustin Johnson
3,3,Rory McIlroy
4,4,Brooks Koepka
5,5,Justin Thomas
6,6,Bryson DeChambeau
7,7,Francesco Molinari
8,8,Jon Rahm
9,9,Rickie Fowler
10,10,Xander Schauffele
11,11,Paul Casey
12,12,Tiger Woods
13,13,Tommy Fleetwood
14,14,Jason Day
15,15,Tony Finau
16,16,Matt Kuchar
17,17,Bubba Watson
18,18,Patrick Reed
19,19,Louis Oosthuizen
20,20,Marc Leishman
21,21,Patrick Cantlay
22,22,Phil Mickelson
23,23,Webb Simpson
24,24,Gary Woodland
25,25,Kevin Kisner
26,26,Hideki Matsuyama
27,27,Sergio Garcia
28,28,Cameron Smith
29,29,Adam Scott
30,30,Alex Noren
31,31,Rafa Cabrera Bello
32,32,Ian Poulter
33,33,Jordan Spieth
34,34,Keegan Bradley
35,35,Matthew Fitzpatrick
36,36,Matt Wallace
37,37,Tyrrell Hatton
38,38,Henrik Stenson
39,39,Haotong Li
40,40,Eddie Pepperell
41,41,Billy Horschel
42,42,Kiradech Aphibarnrat
43,43,Lucas Bjerregaard
44,44,Branden Grace
45,45,J.B. Holmes
46,46,Charles Howell III
47,47,Brandt Snedeker
48,48,Kyle Stanley
49,49,Justin Harding
50,50,Shane Lowry
51,51,Jim Furyk
52,52,Byeong Hun An
53,53,Thorbjorn Olesen
54,54,Kevin Na
55,55,Siwoo Kim
56,56,Andrew Putnam
57,57,Sungjae Im
58,58,Abraham Ancer
59,59,Emiliano Grillo
60,60,Keith Mitchell
61,61,Chez Reavie
62,62,Russell Knox
63,63,Lee Westwood
64,64,Jason Kokrak
65,65,Tom Lewis
66,66,Charley Hoffman
67,67,Aaron Wise
68,68,Satoshi Kodaira
69,69,Luke List
70,70,Jazz Janewattananond
71,71,Joost Luiten
72,72,Ryan Moore
73,73,Adam Hadwin
74,74,Adrian Otaegui
75,75,Ryan Palmer
76,76,Ryan Fox
77,77,Shugo Imahira
78,78,Danny Willett
79,79,Daniel Berger
80,80,Jhonattan Vegas
81,81,Lucas Glover
82,82,Alexander Bjork
83,83,Brian Harman
84,84,Corey Conners
85,85,Thomas Pieters
86,86,Chesson Hadley
87,87,Zach Johnson
88,88,Jorge Campillo
89,89,Lucas Herbert
90,90,Cameron Champ
91,91,Dylan Frittelli
92,92,Shaun Norris
93,93,Pat Perez
94,94,Kevin Chappell
95,95,Ross Fisher
96,96,Stewart Cink
97,97,Patton Kizzire
98,98,Kevin Tway
99,99,Beau Hossler
100,100,Julian Suri
101,101,Ryan Armour
102,102,Jimmy Walker
103,103,Danny Lee
104,104,Charl Schwartzel
105,105,Alexander Levy
106,106,Scott Piercy
107,107,Kurt Kitayama
108,108,Adam Long
109,109,Mike Lorenzo-Vera
110,110,Sam Burns
111,111,C.T. Pan
112,111,Chris Wood
113,113,JC Ritchie
114,114,Andrea Pavan
115,115,Graeme McDowell
116,116,Yuta Ikeda
117,117,Adri Arnaus
118,118,Erik van Rooyen
119,119,Aaron Rai
120,120,Peter Uihlein
121,121,Mikko Korhonen
122,122,Scott Stallings
123,123,Richard Sterne
124,124,Michael Thompson
125,125,Russell Henley
126,126,Martin Trainer
127,127,Jordan L Smith
128,128,Andrew Landry
129,129,Brian Gay
130,130,Paul Dunne
131,131,Shubhankar Sharma
132,132,Austin Cook
133,133,Sunghoon Kang
134,134,Brandon Stone
135,135,Andy Sullivan
136,136,Joel Dahmen
137,137,Victor Perez
138,138,Ryuko Tokimatsu
139,139,Yuki Inamori
140,140,David Lipsky
141,141,Ted Potter Jr
142,142,Gaganjeet Bhullar
143,143,Jason Scrivener
144,144,John Catlin
145,145,J.J Spaun
146,146,Jake Ian McLeod
147,147,Brice Garnett
148,148,Joachim B Hansen
149,149,Patrick Rodgers
150,150,Sanghyun Park
151,151,Thomas Detry
152,152,Dean Burmester
153,153,Paul Waring
154,154,Talor Gooch
155,155,Harold Varner III
156,156,Brendan Steele
157,157,Brad Kennedy
158,157,Shota Akiyoshi
159,159,Scott Hend
160,160,Nacho Elvira
161,161,Sam Ryder
162,162,Brendan Jones
163,163,Masahiro Kawamura
164,164,Denny McCarthy
165,165,Chris Paisley
166,166,Joaquin Niemann
167,167,Yoshinori Fujimoto
168,168,Darren Fichardt
169,169,Bronson Burgoon
170,170,Kevin Streelman
171,171,Poom Saksansin
172,172,Scott Vincent
173,173,Oliver Wilson
174,174,Nick Watney
175,175,Brian Stuard
176,176,Kelly Kraft
177,177,Romain Langasque
178,178,Cameron Davis
179,179,Chris Kirk
180,180,Fabrizio Zanotti
181,181,Chris Stroud
182,182,Kodai Ichihara
183,183,Sam Horsfield
184,184,Sean Crocker
185,185,Rikuya Hoshino
186,186,Aaron Baddeley
187,187,Dimi Papadatos
188,188,Seungsu Han
189,189,Kramer Hickok
190,190,Martin Kaymer
191,191,Louis de Jager
192,192,Richy Werenski
193,193,Bud Cauley
194,194,Meenwhee Kim
195,195,Marcus Kinhult
196,196,Jamie Lovemark
197,197,Anirban Lahiri
198,198,Yusaku Miyazato
199,199,Guido Migliozzi
200,200,Wade Ormsby
201,201,George Coetzee
202,202,David Drysdale
203,203,Jason Dufner
204,204,Sihwan Kim
205,205,Scott Jamieson
206,206,JT Poston
207,207,Troy Merritt
208,208,Vaughn Taylor
209,209,Stephen Gallacher
210,210,Ollie Schniederjans
211,211,Y.E. Yang
212,212,Rory Sabbatini
213,213,Hyunwoo Ryu
214,214,Pablo Larrazabal
215,215,Maximilian Kieffer
216,216,Daniel van Tonder
217,217,Matt Jones
218,218,Tyler McCumber
219,219,Junggon Hwang
220,220,David Law
221,221,Scott Brown
222,222,Benjamin Hebert
223,223,Wu Ashun
224,224,Johannes Veerman
225,225,Jack Singh Brar
226,226,Sean O'Hair
227,227,Nicolas Colsaerts
228,228,Hosung Choi
229,229,Wyndham Clark
230,230,Scott Langley
231,231,Panuphol Pittayarat
232,232,Soren Kjeldsen
233,233,Padraig Harrington
234,234,James Hahn
235,235,Liam Johnston
236,236,Atomu Shigenaga
237,237,Sanghee Lee
238,238,Miguel Tabuena
239,239,Matthew Southgate
240,240,Trey Mullinax
241,241,Jaco Ahlers
242,242,Nick Taylor
243,243,Ryo Ishikawa
244,244,Mikumu Horikawa
245,245,Gavin Green
246,246,Kalle Samooja
247,247,Andrew Johnston
248,248,Kyounghoon Lee
249,249,Kim Koivu
250,250,Mackenzie Hughes
251,251,Matthias Schwab
252,252,Robert MacIntyre
253,253,Robert Streb
254,254,Matthew Millar
255,255,Richard McEvoy
256,256,Angelo Que
257,257,Hudson Swafford
258,258,Hideto Tanihara
259,259,Jean-Paul Strydom
260,260,Adam Schenk
261,261,Martin Laird
262,262,Ajeetesh Sandhu
263,263,Kazuki Higa
264,264,Roger Sloan
265,265,Joakim Lagergren
